Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
18,125,50,3,28285.099549807153,129.88715654858046,168.1817455903201
18,125,100,1,26909.70070951593,126.60807526258857,164.04176513777193
18,125,100,2,24293.78686549489,120.27287624403834,155.864642768958
18,125,100,3,25674.272257780824,123.35429759959635,160.23193270313138
18,125,150,1,26331.38673551875,126.73158933193359,162.2694879991884
18,125,150,2,26480.655498419328,125.69150448786857,162.72877894957404
18,125,150,3,25886.08742880688,126.10027693015176,160.8915393325792
18,125,200,1,26324.504727176867,124.3225294257593,162.24828112241087
18,125,200,2,24856.65254316604,122.36613622148123,157.65992687796745
18,125,200,3,25887.57217412058,126.77062961918492,160.89615338509677
20,50,200,1,24415.973012892864,120.81131364741984,156.2561135216567
20,50,200,2,24555.52004588563,121.95795379560441,156.70201034411022
20,50,200,3,25101.37337876813,122.52274436689913,158.43412946321928
20,75,200,1,25007.28082573142,122.06766028778834,158.1369053248843
20,75,200,2,24775.672137065438,121.87652907238031,157.40289748624528
20,75,200,3,24684.56661924551,121.64055857524379,157.11322865769614
20,100,200,1,26174.631341390457,124.70943697242895,161.78575753566955
20,100,200,2,25228.917297049957,123.65538204284903,158.8361334742506
20,100,200,3,26938.2721617569,127.65951555199507,164.1288279424334
20,125,50,1,25942.305523910727,124.52912775560075,161.06615263273264
20,125,50,2,28291.55630563768,131.5717405465483,168.2009402638335
20,125,50,3,27360.02595404364,128.06590943365978,165.40866347940678
20,125,100,1,26402.364185366936,123.56223716780853,162.48804320739092
20,125,100,2,33007.049904374806,140.4740146639912,181.678424432773
20,125,100,3,29062.750316016718,132.43088024133402,170.47800537317627
20,125,150,1,24769.7279323385,120.73443742979629,157.3840142210717
20,125,150,2,25556.57518905432,122.4377432497477,159.86423986950402
20,125,150,3,28015.252675266,129.38752153576868,167.3775751863612
20,125,200,1,23950.456306518314,119.2942756234099,154.75934965784236
20,125,200,2,25285.291409717986,122.62273128215327,159.01349442647307
20,125,200,3,26044.358705647865,124.2118254418071,161.38264685413938
22,50,200,1,24938.96008683851,122.33878147687571,157.9207398882063
22,50,200,2,24844.51824747767,121.44593939164417,157.62143968216276
22,50,200,3,25219.69251524205,123.03362189897534,158.8070921440288
22,75,200,1,25811.31367462541,122.91647068430282,160.6589981128521
22,75,200,2,24751.332810092546,122.70895373155473,157.3255631170362
22,75,200,3,30117.080708698173,132.8237291804524,173.5427345315792
22,100,200,1,29209.443500129906,133.7086387044065,170.90770462483516
22,100,200,2,25033.862094952718,123.84232915691793,158.22092811936326
22,100,200,3,29180.523539134636,129.824943958226,170.82307671721242
22,125,50,1,25380.326230583352,122.38365408159036,159.31204044447912
22,125,50,2,24352.73281385906,118.96209535120322,156.05362159802334
22,125,50,3,28281.891251428366,129.5844892514442,168.17220713134606
22,125,100,1,26307.069448503033,124.24358338060088,162.1945419812363
22,125,100,2,24668.337984280548,120.94671775863321,157.0615738628661
22,125,100,3,28388.240158476245,127.29823670789641,168.4881009403223
22,125,150,1,26822.63390486928,125.94334849002817,163.7761701373838
22,125,150,2,27607.46864544023,128.99433630897622,166.1549537192323
22,125,150,3,25845.145982854057,125.39818412851496,160.7642559241763
22,125,200,1,25415.714941037982,121.08895873778884,159.42306903656691
22,125,200,2,24933.297824651905,121.81736971369538,157.90281132599225
22,125,200,3,26323.497930007772,122.44005289198688,162.24517844918466
24,50,200,1,26776.068949968278,124.59393091003533,163.63394803636646
24,50,200,2,25008.384758179825,122.50688537730106,158.14039571905664
24,50,200,3,25314.09743344569,122.23575201691816,159.10404593675702
24,75,200,1,29104.597946796825,130.94774059323507,170.60069738074586
24,75,200,2,25017.196510627036,121.46245853581095,158.16825380153577
24,75,200,3,26189.5387170517,125.17477899464495,161.8318223250659
24,100,200,1,28938.73483094023,131.23880112102944,170.11388782501044
24,100,200,2,25523.254998683515,122.15644897690723,159.7599918586738
24,100,200,3,25138.713262846668,124.01151179807121,158.55192607737905
24,125,50,1,28059.028402020107,130.70478577261224,167.50829353205205
24,125,50,2,25070.80458666193,121.62291607064581,158.33762846102604
24,125,50,3,31749.45208133791,138.05566011354702,178.18375930857982
24,125,100,1,28241.055844423743,128.75387924905442,168.05075377523227
24,125,100,2,28641.924853740482,128.03923303576596,169.2392532887701
24,125,100,3,26035.776845410004,125.30737690995953,161.3560561163107
24,125,150,1,24560.048673564583,121.61030241082264,156.71645948516252
24,125,150,2,27898.76817711636,128.4323471328996,167.0292434788482
24,125,150,3,27461.24158534887,127.30094597383317,165.71433729568747
24,125,200,1,24851.426767393143,120.95760908343085,157.64335307076269
24,125,200,2,25985.817642064325,124.0166145433,161.20117134209764
24,125,200,3,27749.861195101326,129.38729468457566,166.58289586599616
26,50,50,1,24909.482626105597,123.13941105167581,157.82738237107526
26,50,50,2,25040.46803265191,120.7208772905358,158.24180241848836
26,50,50,3,26983.525112955722,127.51068235403822,164.26662811708204
26,50,100,1,25645.392286566042,126.27811746765317,160.14178807096553
26,50,100,2,25319.055374272786,124.3368564939264,159.11962598709434
26,50,100,3,28154.435517628342,128.8404590905731,167.79283512006208
26,50,150,1,24769.86817961849,122.46431730437187,157.38445977801777
26,50,150,2,25049.482918091446,123.25207064852555,158.27028438115428
26,50,150,3,25184.51487614116,122.88521056685654,158.696297613212
26,50,200,1,25079.13719868024,121.38948591545515,158.3639390728844
26,50,200,2,26423.818828631425,125.54435568869717,162.55404894567044
26,50,200,3,27912.62083428619,130.2882188131599,167.07070609261874
26,75,50,1,24873.07278638717,121.54061875055379,157.71199315964265
26,75,50,2,25133.203023913935,122.82477349274099,158.53454836064577
26,75,50,3,29189.873899454957,131.71964154151922,170.8504430765544
26,75,100,1,25201.518537397642,121.52676859200832,158.7498615350503
26,75,100,2,26167.173537205104,124.6394473860921,161.76270749837585
26,75,100,3,27691.945585371337,128.3703693285626,166.4089708680735
26,75,150,1,24726.42241891805,119.64955734093174,157.24637489913098
26,75,150,2,27219.621837090977,124.98528189850111,164.98370173168917
26,75,150,3,25987.146186718237,125.51477610908002,161.2052920555595
26,75,200,1,24525.309228127695,119.77096064339912,156.60558491997563
26,75,200,2,25930.913216226778,124.4358387548253,161.0307834428771
26,75,200,3,25438.364988107936,125.23738678470461,159.49409076234747
26,100,50,1,27404.379054673722,127.93074842748157,165.5426804623923
26,100,50,2,30589.44539872758,134.69960634248275,174.89838592373454
26,100,50,3,27627.194870340292,127.80065814456597,166.21430404853936
26,100,100,1,25436.37275789861,122.7113962550875,159.48784517291156
26,100,100,2,25671.734486982048,124.27097529979784,160.22401345298417
26,100,100,3,26675.226433178766,126.70009111675903,163.32552290802184
26,100,150,1,25019.780334326097,121.9546345185795,158.17642154988238
26,100,150,2,24347.029270052506,119.00304121726207,156.0353462201834
26,100,150,3,27064.950537024655,127.32801376218222,164.51428672618272
26,100,200,1,26568.800609916885,125.61989687882998,162.99938837283068
26,100,200,2,25131.052990379994,124.22806333383153,158.5277672535004
26,100,200,3,27447.8752632059,127.39242245571758,165.67400297936277
26,125,50,1,24334.556298884472,119.76623563074105,155.99537268420647
26,125,50,2,26450.2057374883,124.29351295342713,162.6351921863417
26,125,50,3,26317.289042062606,127.15410123468796,162.22604304507524
26,125,100,1,24346.1660907037,121.64138619968021,156.03258022190013
26,125,100,2,25069.555239460176,122.82039751848687,158.33368321194382
26,125,100,3,28938.54902038268,130.90617366830818,170.11334168836575
26,125,150,1,25237.79789364235,122.69348688207494,158.86408622984098
26,125,150,2,24586.41680366843,120.47332682805539,156.80056378619443
26,125,150,3,28024.245097797146,129.91694619249932,167.40443571720897
26,125,200,1,25323.089098429184,120.420507675268,159.13230061313504
26,125,200,2,27358.86793782802,125.88256199650124,165.4051629721032
26,125,200,3,32375.75298133719,138.73163893807424,179.9326345645425
