Local_Time,Real Data,AR,LSTM univariado,LSTM multivariado
2016-10-28 15:00:00,430.0,557.9112230000002,610.5772515535356,610.499193608761
2016-10-28 16:00:00,192.0,274.6170649999999,313.21842461824417,360.24427157640457
2016-10-28 17:00:00,208.0,112.68315099999997,167.59667034447196,193.00994506478312
2016-10-29 08:00:00,274.0,214.9998,299.11777848005295,144.25061820447448
2016-10-29 09:00:00,570.0,408.399494,483.55327025055885,428.4086416363716
2016-10-29 10:00:00,935.0,704.2318700000001,729.9646838307382,673.0859817862512
2016-10-29 11:00:00,753.0,957.0711399999997,970.6635148525239,889.3860575556756
2016-10-29 12:00:00,850.0,794.9019199999997,689.80879932642,684.1599221229554
2016-10-29 13:00:00,1091.0,781.3352389999995,790.9346293807031,758.6808707714082
2016-10-29 14:00:00,913.0,816.6732880000002,816.5773476958276,840.6539430618287
2016-10-29 15:00:00,717.0,590.1664099999998,627.2683423161508,678.6460815668107
2016-10-29 16:00:00,566.0,414.12009999999987,459.009802043438,498.4667621850968
2016-10-29 17:00:00,167.0,346.481904,297.28097072243685,301.74385277926916
2016-10-30 08:00:00,377.0,202.930215,205.54871287941936,138.72538370639091
2016-10-30 09:00:00,652.0,522.1949119999998,639.5502743124963,709.516236126423
2016-10-30 10:00:00,868.0,744.7845490000002,790.7347722649574,846.1203013658525
2016-10-30 11:00:00,1008.0,872.154999,932.6715260744096,950.2577292323114
2016-10-30 12:00:00,1107.0,946.498294,996.5224932432176,1011.1037892699243
2016-10-30 13:00:00,715.0,954.8637369999997,989.6656963229179,1011.5796909332277
2016-10-30 14:00:00,947.0,583.1283909999997,602.1869937181473,651.1514115333557
2016-10-30 15:00:00,878.0,697.8436469999999,735.3991714715959,744.3257629275322
2016-10-30 16:00:00,636.0,529.1449309999998,535.4104723334311,570.9788518548013
2016-10-30 17:00:00,311.0,394.557073,356.5486415624618,351.6176816225052
2016-10-31 08:00:00,305.0,320.21341899999993,327.7614470720291,198.62053070962432
2016-10-31 09:00:00,646.0,472.808563,531.9729731082916,598.7498542070389
2016-10-31 10:00:00,868.0,753.535111,818.8780066967012,917.7565593123436
2016-10-31 11:00:00,885.0,883.7579670000001,910.0873122811321,955.4714244008064
2016-10-31 12:00:00,996.0,850.9705900000001,873.2746099829675,938.4335693120958
2016-10-31 13:00:00,822.0,888.8456869999997,918.1680002212526,957.0438783168794
2016-10-31 14:00:00,425.0,730.9216769999999,676.184918165207,722.1268028616906
2016-10-31 15:00:00,123.0,410.82807099999985,410.7955318689346,431.21009451150894
2016-10-31 16:00:00,227.0,132.22411399999996,168.94770228862762,221.70260670781138
2016-10-31 17:00:00,335.0,192.607525,225.9419624656439,204.827989846468
2016-11-01 08:00:00,249.0,337.182952,499.71583318710327,228.83158124983314
2016-11-01 09:00:00,608.0,439.680536,414.6379252076149,450.5165221095085
2016-11-01 10:00:00,852.0,742.313846,740.7529392838478,821.1212553381921
2016-11-01 11:00:00,960.0,873.3638900000001,839.4056634306909,879.9954349994659
